CustomerID,Recency,Frequency,Monetary,TotalOrders,TotalItems,FirstPurchase,LastPurchase,Country,UniqueProducts,AvgOrderValue,R_Score,F_Score,M_Score,RFM_Score,Weighted_RFM_Score,RF_Score,Segment,Cluster,PCA_1,PCA_2
10031,55,14,460.35,14,32,2024-02-18 10:10:00,2025-03-18 15:16:00,France,8,32.88,4,3,3,10,10.3,43,Loyal Customers,0,-0.2767980585484873,-0.35497453158441716
10032,27,50,1395.41,50,88,2024-02-24 13:29:00,2025-04-14 21:17:00,Portugal,12,27.91,5,5,5,15,15.5,55,VIP Customers,3,-1.8596558557547662,0.13776789325647046
10033,87,32,875.14,32,60,2024-02-27 19:51:00,2025-02-13 19:44:00,Netherlands,10,27.35,2,5,4,11,11.5,25,At-Risk Customers,3,-0.8763451437730195,0.5559894156441489
10034,103,35,1371.49,35,68,2024-02-22 13:52:00,2025-01-29 15:17:00,France,12,39.19,2,5,5,12,12.5,25,At-Risk Customers,3,-1.030140895429912,0.9339045792159927
10035,89,14,655.26,14,30,2024-01-08 10:10:00,2025-02-12 15:30:00,Spain,7,46.8,2,3,3,8,8.3,23,At-Risk Customers,0,-0.18621074172736854,0.1795421202087405
10036,53,15,465.98,15,33,2024-03-13 22:23:00,2025-03-20 17:07:00,Portugal,9,31.07,4,3,3,10,10.3,43,Loyal Customers,0,-0.34182761198547057,-0.35057408049058464
10037,49,20,679.24,20,40,2024-03-26 19:20:00,2025-03-24 10:00:00,Italy,9,33.96,4,3,3,10,10.3,43,Loyal Customers,0,-0.7396143288190444,-0.171155636992017
10038,199,11,462.94,11,25,2024-03-11 16:57:00,2024-10-25 15:34:00,Portugal,8,42.09,1,2,3,6,6.2,12,Occasional Buyers,1,0.9802391776139459,1.3359012167924278
10039,58,24,729.78,24,52,2024-03-11 19:41:00,2025-03-14 22:19:00,Portugal,10,30.41,4,4,4,12,12.4,44,VIP Customers,0,-0.8233104460147938,0.031071518892918617
10040,48,57,1654.58,57,112,2024-02-08 08:30:00,2025-03-25 09:47:00,Spain,11,29.03,4,5,5,14,14.5,45,VIP Customers,3,-1.867852883380231,0.5024267598006935
10041,193,13,397.34,13,19,2024-01-09 14:39:00,2024-10-31 12:15:00,Italy,9,30.56,1,2,2,5,5.2,12,Lost Customers,1,0.9036091065716652,1.272010371100785
10042,37,13,383.43,13,28,2024-04-08 22:42:00,2025-04-04 21:35:00,France,7,29.49,4,2,2,8,8.2,42,New Customers,0,-0.2800191509829711,-0.66342160350732
10043,32,52,1513.66,52,89,2024-03-02 17:18:00,2025-04-10 14:53:00,United Kingdom,12,29.11,5,5,5,15,15.5,55,VIP Customers,3,-1.8867145667613492,0.24096610987175235
10044,21,54,1715.58,54,115,2024-03-24 21:14:00,2025-04-21 10:10:00,France,12,31.77,5,5,5,15,15.5,55,VIP Customers,3,-2.0572749257313245,0.16063615238880108
10045,70,14,641.79,14,31,2024-02-07 16:55:00,2025-03-03 15:33:00,Spain,8,45.84,3,3,3,9,9.3,33,High Potential,0,-0.3224010387517612,-0.06154912737353374
10046,29,22,742.96,22,38,2024-02-17 17:46:00,2025-04-13 14:27:00,Germany,11,33.77,5,4,4,13,13.4,54,VIP Customers,0,-0.9987197196423927,-0.35314196163983275
10047,45,33,978.51,33,67,2024-01-18 08:53:00,2025-03-27 20:34:00,Netherlands,12,29.65,4,5,4,13,13.5,45,VIP Customers,3,-1.274059040096347,0.0861162053985205
10048,63,20,386.96,20,35,2024-03-09 19:41:00,2025-03-09 17:30:00,France,10,19.35,3,3,2,8,8.3,33,Occasional Buyers,0,-0.359125135869946,-0.18211461750380145
10049,89,4,237.91,4,7,2024-07-16 14:38:00,2025-02-12 08:19:00,United Kingdom,2,59.48,2,1,2,5,5.1,21,Lost Customers,4,1.049145226596891,-0.5780972918153415
10050,127,8,230.36,8,14,2024-05-03 16:00:00,2025-01-05 09:51:00,Italy,5,28.8,2,2,2,6,6.2,22,Lost Customers,1,0.9588764542149522,0.10861061195262686
10051,10,60,2215.69,60,124,2024-03-09 15:58:00,2025-05-02 14:49:00,Germany,12,36.93,5,5,5,15,15.5,55,VIP Customers,3,-2.336303776466474,0.14884972100125893
10052,45,31,1441.12,31,70,2024-02-24 11:08:00,2025-03-27 18:33:00,United Kingdom,10,46.49,4,4,5,13,13.4,44,VIP Customers,3,-1.4208290751384955,0.18901769655558637
10053,39,31,1359.85,31,72,2024-03-31 13:15:00,2025-04-03 10:37:00,Netherlands,12,43.87,4,4,5,13,13.4,44,VIP Customers,3,-1.4388468145089788,0.0960591132492982
10054,51,28,984.39,28,57,2024-01-14 19:40:00,2025-03-21 22:23:00,Portugal,12,35.16,4,4,4,12,12.4,44,VIP Customers,3,-1.122967101619502,0.10020640124048905
10055,62,20,490.7,20,39,2024-02-02 16:14:00,2025-03-10 19:44:00,Netherlands,11,24.54,3,3,3,9,9.3,33,High Potential,0,-0.4819073826596436,-0.11696547253751342
10056,39,13,784.59,13,30,2024-05-15 11:25:00,2025-04-02 19:47:00,Netherlands,8,60.35,4,2,4,10,10.2,42,New Customers,0,-0.6117085366641484,-0.40507969491813617
10057,75,23,1264.37,23,56,2024-03-05 16:40:00,2025-02-25 22:34:00,France,10,54.97,3,4,5,12,12.4,34,High Potential,3,-0.9314046924801062,0.40435169473426613
10058,62,26,1197.07,26,60,2024-03-21 16:22:00,2025-03-11 10:32:00,Italy,10,46.04,3,4,5,12,12.4,34,High Potential,3,-1.084767243801012,0.2719695601812595
10059,170,13,1015.05,13,32,2024-03-24 18:31:00,2024-11-22 18:57:00,Germany,6,78.08,1,2,4,7,7.2,12,Occasional Buyers,1,0.2718000433701237,1.294538478408144
10060,124,9,409.78,9,15,2024-02-26 17:48:00,2025-01-08 16:36:00,Italy,7,45.53,2,2,2,6,6.2,22,Lost Customers,1,0.585564575149206,0.3002970556523395
10061,1,39,1121.31,39,62,2024-02-23 14:32:00,2025-05-10 21:04:00,Portugal,12,28.75,5,5,4,14,14.5,55,VIP Customers,3,-1.7890173238729041,-0.34879596339947455
10062,74,15,426.79,15,28,2024-02-11 12:38:00,2025-02-27 14:50:00,Netherlands,8,28.45,3,3,2,8,8.3,33,Occasional Buyers,0,-0.1375995740046486,-0.12025999901458999
10063,74,59,2498.95,59,145,2024-02-02 09:47:00,2025-02-27 15:05:00,Netherlands,12,42.36,3,5,5,13,13.5,35,High Potential,3,-1.8908304314346522,0.9709971081701103
10064,40,28,638.34,28,47,2024-01-30 20:56:00,2025-04-01 20:29:00,Portugal,12,22.8,4,4,3,11,11.4,44,Loyal Customers,3,-0.9975499328435781,-0.17689502721759565
10065,81,15,788.31,15,36,2024-03-16 20:47:00,2025-02-20 11:36:00,Netherlands,10,52.55,3,3,4,10,10.3,33,High Potential,0,-0.3811907720968322,0.16634348389590792
10066,49,20,1220.7,20,53,2024-05-11 11:28:00,2025-03-24 11:57:00,Netherlands,11,61.04,4,4,5,13,13.4,44,VIP Customers,3,-1.0239916543509433,0.02030337995105559
10067,79,13,384.52,13,34,2024-03-22 21:45:00,2025-02-22 08:31:00,France,7,29.58,3,2,2,7,7.2,32,Occasional Buyers,0,0.04192246045418593,-0.14454697418100457
10068,33,91,3771.86,91,196,2024-01-06 18:40:00,2025-04-08 17:33:00,Portugal,12,41.45,5,5,5,15,15.5,55,VIP Customers,3,-2.696039027779942,0.7661803080361688
10069,47,47,2382.51,47,122,2024-02-04 20:42:00,2025-03-26 10:26:00,Spain,12,50.69,4,5,5,14,14.5,45,VIP Customers,3,-1.9242710051025853,0.5356552080381033
10070,110,14,520.8,14,23,2024-03-15 16:10:00,2025-01-21 19:11:00,Netherlands,7,37.2,2,3,3,8,8.3,23,At-Risk Customers,0,0.08679526031604648,0.36355095789590514
10071,72,46,2161.64,46,110,2024-01-06 13:50:00,2025-02-28 18:31:00,Portugal,11,46.99,3,5,5,13,13.5,35,High Potential,3,-1.6703236924426106,0.80397437652387
10072,96,33,1124.17,33,72,2024-02-08 11:20:00,2025-02-05 15:22:00,France,12,34.07,2,5,5,12,12.5,25,At-Risk Customers,3,-0.9487901016616656,0.7603844165488463
10073,16,59,2128.06,59,117,2024-01-28 10:15:00,2025-04-25 19:28:00,Netherlands,12,36.07,5,5,5,15,15.5,55,VIP Customers,3,-2.2593237799370924,0.20322602183011
10074,14,24,622.01,24,38,2024-02-01 13:55:00,2025-04-28 14:09:00,Netherlands,11,25.92,5,4,3,12,12.4,54,Loyal Customers,0,-1.0845367860678772,-0.5637098074834533
10075,1,13,263.88,13,26,2024-02-25 12:17:00,2025-05-11 17:24:00,France,7,20.3,5,2,2,9,9.2,52,New Customers,0,-0.3762482212350026,-1.2291696227876667
10076,25,22,453.31,22,34,2024-03-11 16:02:00,2025-04-16 17:46:00,Germany,10,20.6,5,4,3,12,12.4,54,Loyal Customers,0,-0.789982584031794,-0.5637351280266429
10077,57,13,482.6,13,26,2024-02-09 14:06:00,2025-03-16 08:12:00,United Kingdom,10,37.12,4,3,3,10,10.3,43,Loyal Customers,0,-0.23751514504597804,-0.34174054866110626
10078,61,70,2842.53,70,150,2024-02-16 12:23:00,2025-03-12 09:15:00,Portugal,12,40.61,3,5,5,13,13.5,35,High Potential,3,-2.1675391854885073,0.9182502381811465
10079,241,4,103.66,4,8,2024-06-15 21:58:00,2024-09-13 12:16:00,Spain,3,25.92,1,1,1,3,3.1,11,Lost Customers,2,2.620089564785041,1.0265119967110614
10080,49,27,826.28,27,49,2024-02-03 18:38:00,2025-03-24 09:41:00,Portugal,12,30.6,4,4,4,12,12.4,44,VIP Customers,3,-1.029640545145264,0.0047099189855329526
10081,70,11,192.21,11,19,2024-03-09 21:29:00,2025-03-02 20:15:00,Germany,9,17.47,3,2,2,7,7.2,32,Occasional Buyers,0,0.41261890126088,-0.5413612418779846
10082,45,16,720.01,16,36,2024-03-18 19:56:00,2025-03-28 09:06:00,United Kingdom,9,45.0,4,3,3,10,10.3,43,Loyal Customers,0,-0.6554545205749569,-0.2836289889665154
10083,23,28,909.06,28,61,2024-02-12 16:40:00,2025-04-19 17:03:00,Portugal,11,32.47,5,4,4,13,13.4,54,VIP Customers,3,-1.299888797758766,-0.2710958758513294
10084,35,41,1182.61,41,68,2024-02-03 14:51:00,2025-04-06 20:01:00,United Kingdom,11,28.84,5,5,5,15,15.5,55,VIP Customers,3,-1.5861808701922528,0.1068585566045719
10085,38,18,603.78,18,32,2024-03-30 10:13:00,2025-04-04 13:35:00,Netherlands,10,33.54,4,3,3,10,10.3,43,Loyal Customers,0,-0.6993542724952284,-0.3841764395779941
10086,112,17,691.44,17,37,2024-04-22 14:52:00,2025-01-20 11:02:00,United Kingdom,11,40.67,2,3,3,8,8.3,23,At-Risk Customers,0,-0.15879238540679502,0.5516314591693372
10087,61,15,530.43,15,35,2024-03-31 22:44:00,2025-03-11 18:37:00,Germany,10,35.36,3,3,3,9,9.3,33,High Potential,0,-0.3430315531381502,-0.20964464945277816
10088,49,18,583.3,18,27,2024-02-05 13:37:00,2025-03-23 21:23:00,France,7,32.41,4,3,3,10,10.3,43,Loyal Customers,0,-0.5979451444618847,-0.25978739676005347
10089,36,22,669.74,22,44,2024-03-29 21:37:00,2025-04-05 18:46:00,Germany,11,30.44,4,4,3,11,11.4,44,Loyal Customers,0,-0.894516876946708,-0.3006932413263794
10090,41,28,1310.3,28,76,2024-05-05 17:11:00,2025-03-31 19:00:00,Italy,12,46.8,4,4,5,13,13.4,44,VIP Customers,3,-1.3387170630862586,0.07031298031351631
10091,28,19,435.05,19,27,2024-04-01 18:08:00,2025-04-13 20:37:00,France,11,22.9,5,3,2,10,10.3,53,Occasional Buyers,0,-0.6522379882051771,-0.5945047814121567
10092,56,20,642.03,20,42,2024-02-03 21:39:00,2025-03-17 10:31:00,France,12,32.1,4,4,3,11,11.4,44,Loyal Customers,0,-0.6584079761001707,-0.10322436948227631
10093,43,31,876.47,31,54,2024-02-17 22:53:00,2025-03-29 20:07:00,Spain,11,28.27,4,4,4,12,12.4,44,VIP Customers,3,-1.1949381821670253,0.0019053607545016068
10094,61,16,375.24,16,30,2024-03-13 12:50:00,2025-03-11 20:55:00,France,10,23.45,3,3,2,8,8.3,33,Occasional Buyers,0,-0.21640305224478132,-0.29898571232802557
10095,21,49,1689.34,49,94,2024-01-29 13:39:00,2025-04-21 16:34:00,France,12,34.48,5,5,5,15,15.5,55,VIP Customers,3,-1.98519463502696,0.11853376785813789
10096,21,33,1838.45,33,88,2024-03-25 12:05:00,2025-04-21 16:49:00,Portugal,11,55.71,5,5,5,15,15.5,55,VIP Customers,3,-1.7648570313646075,-0.003807233185960943
10097,118,16,611.04,16,43,2024-03-12 15:27:00,2025-01-13 19:33:00,Germany,11,38.19,2,3,3,8,8.3,23,At-Risk Customers,0,-0.013921995228397703,0.5630394479471569
10098,65,31,1025.73,31,73,2024-04-01 21:23:00,2025-03-08 13:03:00,France,11,33.09,3,5,4,12,12.5,35,High Potential,3,-1.1018742691167032,0.324576322975542
10099,11,50,2206.69,50,128,2024-01-23 20:07:00,2025-05-01 10:16:00,Italy,12,44.13,5,5,5,15,15.5,55,VIP Customers,3,-2.205275012737823,0.09022066164273858
10100,83,36,1600.23,36,84,2024-03-21 13:21:00,2025-02-18 09:44:00,Italy,12,44.45,2,5,5,12,12.5,25,At-Risk Customers,3,-1.2775333169815175,0.7483187358330622
10101,87,23,607.07,23,50,2024-03-06 13:27:00,2025-02-14 16:27:00,Germany,10,26.39,2,4,3,9,9.4,24,At-Risk Customers,0,-0.4831252520874723,0.31272274021739077
10102,30,17,684.55,17,41,2024-03-18 17:28:00,2025-04-12 10:31:00,Portugal,11,40.27,5,3,3,11,11.3,53,Loyal Customers,0,-0.7851730688311154,-0.4628717888705948
10103,60,21,832.89,21,48,2024-01-28 14:10:00,2025-03-13 15:07:00,Netherlands,10,39.66,3,4,4,11,11.4,34,High Potential,0,-0.7853730684874384,0.049178642897704725
10104,82,15,553.51,15,30,2024-02-20 22:36:00,2025-02-19 13:13:00,Italy,11,36.9,2,3,3,8,8.3,23,At-Risk Customers,0,-0.2020200830650945,0.06323042707968858
10105,68,33,1381.72,33,78,2024-03-13 14:33:00,2025-03-04 21:21:00,Netherlands,11,41.87,3,5,5,13,13.5,35,High Potential,3,-1.2644372192102493,0.4824799965413213
10106,31,43,1308.96,43,74,2024-03-19 17:17:00,2025-04-10 17:26:00,Netherlands,11,30.44,5,5,5,15,15.5,55,VIP Customers,3,-1.6977620538723033,0.10878537593539911
10107,9,34,757.12,34,50,2024-02-28 16:35:00,2025-05-03 10:12:00,Italy,12,22.27,5,5,4,14,14.5,55,VIP Customers,3,-1.4464044215915632,-0.4303404263370808
10108,83,12,314.34,12,25,2024-04-10 19:54:00,2025-02-17 17:47:00,Germany,7,26.19,2,2,2,6,6.2,22,Lost Customers,0,0.22053179239908882,-0.18974087698755343
10109,65,25,888.94,25,60,2024-03-11 09:25:00,2025-03-08 12:28:00,Italy,8,35.56,3,4,4,11,11.4,34,High Potential,3,-0.89170170193061,0.1970760101451039
10110,44,48,1676.42,48,96,2024-02-25 12:35:00,2025-03-29 14:56:00,France,12,34.93,4,5,5,14,14.5,45,VIP Customers,3,-1.7907209796200156,0.3918069158463815
10111,61,10,426.02,10,26,2024-01-11 19:47:00,2025-03-12 10:15:00,Germany,8,42.6,3,2,2,7,7.2,32,Occasional Buyers,0,0.01716006560051806,-0.42688291481962104
10112,21,30,1114.45,30,65,2024-02-24 14:24:00,2025-04-21 12:38:00,France,10,37.15,5,4,4,13,13.4,54,VIP Customers,3,-1.4593190612369813,-0.20328464214644598
10113,39,14,769.89,14,35,2024-02-15 17:14:00,2025-04-03 14:23:00,Italy,7,54.99,4,3,4,11,11.3,43,Loyal Customers,0,-0.6492966534578235,-0.3844249942250178
10114,92,20,736.13,20,34,2024-02-17 19:41:00,2025-02-09 12:05:00,Italy,9,36.81,2,4,4,10,10.4,24,At-Risk Customers,0,-0.447606846244271,0.38538721193379666
10115,189,4,57.47,4,5,2024-01-23 20:37:00,2024-11-03 19:24:00,United Kingdom,4,14.37,1,1,1,3,3.1,11,Lost Customers,2,2.50254323459444,0.1948782327700045
10116,44,16,492.18,16,28,2024-01-27 19:44:00,2025-03-28 19:49:00,United Kingdom,9,30.76,4,3,3,10,10.3,43,Loyal Customers,0,-0.4787106701286822,-0.42013787710231354
10117,91,16,440.12,16,25,2024-03-19 15:42:00,2025-02-10 08:33:00,Italy,9,27.51,2,3,2,7,7.3,23,Occasional Buyers,0,-0.06272544965736064,0.12299553010901211
10118,132,9,452.65,9,19,2024-01-22 20:27:00,2024-12-31 12:14:00,Spain,7,50.29,1,2,3,6,6.2,12,Occasional Buyers,1,0.5989385095019104,0.4314118303768872
10119,111,10,241.42,10,14,2024-04-20 18:08:00,2025-01-21 16:31:00,Portugal,5,24.14,2,2,2,6,6.2,22,Lost Customers,1,0.6770194591517119,0.004605081177395798
10120,71,35,1473.0,35,69,2024-01-10 08:02:00,2025-03-02 12:56:00,Portugal,10,42.09,3,5,5,13,13.5,35,High Potential,3,-1.3111305166828322,0.5626073235818666
10121,77,12,450.18,12,23,2024-01-27 22:36:00,2025-02-24 09:26:00,Portugal,6,37.52,3,2,3,8,8.2,32,High Potential,0,0.000374437083612054,-0.1466075546480889
10122,124,3,58.02,3,5,2024-08-15 21:29:00,2025-01-07 20:40:00,Spain,3,19.34,2,1,1,4,4.1,21,Lost Customers,4,2.1488669483661207,-0.69042737036797
10123,66,31,1094.44,31,61,2024-02-04 10:43:00,2025-03-06 18:16:00,Spain,10,35.3,3,5,4,12,12.5,35,High Potential,3,-1.1256356505877196,0.35808869736066323
10124,16,38,1239.19,38,82,2024-02-13 11:45:00,2025-04-26 09:54:00,Portugal,12,32.61,5,5,5,15,15.5,55,VIP Customers,3,-1.704892390756166,-0.14100375861887812
10125,96,19,388.48,19,35,2024-02-05 15:29:00,2025-02-05 15:09:00,United Kingdom,8,20.45,2,3,2,7,7.3,23,Occasional Buyers,0,-0.07392076272883194,0.20714950355316422
10126,21,40,1513.41,40,89,2024-02-22 08:21:00,2025-04-21 10:27:00,Portugal,12,37.84,5,5,5,15,15.5,55,VIP Customers,3,-1.7973135625763577,0.005421840740324002
10127,28,22,747.82,22,49,2024-02-04 22:14:00,2025-04-14 10:16:00,France,12,33.99,5,4,4,13,13.4,54,VIP Customers,0,-1.0095800191926996,-0.36334504791324895
10128,85,25,877.65,25,55,2024-03-12 09:28:00,2025-02-16 14:05:00,Germany,9,35.11,2,4,4,10,10.4,24,At-Risk Customers,0,-0.7315408120377846,0.43954374762631576
10129,31,25,1233.55,25,56,2024-04-15 13:07:00,2025-04-11 12:16:00,France,10,49.34,5,4,5,14,14.4,54,VIP Customers,3,-1.3123932460999026,-0.11519566927333276
10130,69,33,932.25,33,79,2024-01-03 16:56:00,2025-03-04 08:34:00,Portugal,12,28.25,3,5,4,12,12.5,35,High Potential,3,-1.0658109400439164,0.36626832803287296
10131,63,22,1131.06,22,59,2024-04-16 12:09:00,2025-03-10 10:53:00,Germany,11,51.41,3,4,5,12,12.4,34,High Potential,3,-0.9408689780721253,0.20341481766309646
10132,74,53,2135.65,53,120,2024-02-01 20:14:00,2025-02-27 13:21:00,Netherlands,12,40.3,3,5,5,13,13.5,35,High Potential,3,-1.7431560895589495,0.8786781334356726
10133,211,3,132.44,3,8,2024-07-10 18:50:00,2024-10-13 14:57:00,Germany,3,44.15,1,1,1,3,3.1,11,Lost Customers,2,2.422408006711807,0.6492019083576183
10134,82,16,601.01,16,31,2024-02-26 22:13:00,2025-02-18 19:38:00,Netherlands,9,37.56,2,3,3,8,8.3,23,At-Risk Customers,0,-0.2830257963254491,0.113680546399662
10135,75,22,944.14,22,46,2024-03-05 17:07:00,2025-02-25 18:37:00,Spain,10,42.92,3,4,4,11,11.4,34,High Potential,0,-0.7608507129496377,0.29239456957226917
10136,72,10,185.05,10,16,2024-05-16 17:54:00,2025-03-01 11:37:00,Italy,6,18.51,3,2,2,7,7.2,32,Occasional Buyers,0,0.5053287672304994,-0.5628824512093711
10137,78,24,956.25,24,48,2024-03-15 19:04:00,2025-02-22 21:17:00,Germany,11,39.84,3,4,4,11,11.4,34,High Potential,3,-0.8004540113888736,0.3659804380968166
10138,35,17,589.21,17,40,2024-03-05 15:11:00,2025-04-07 12:56:00,France,10,34.66,5,3,3,11,11.3,53,Loyal Customers,0,-0.6739593796648227,-0.45017288713528225
10139,242,9,409.48,9,16,2024-01-02 10:52:00,2024-09-11 20:05:00,United Kingdom,8,45.5,1,2,2,5,5.2,12,Lost Customers,1,1.494285287067881,1.7552478228685358
10140,25,46,1716.63,46,98,2024-03-21 17:44:00,2025-04-17 13:45:00,France,12,37.32,5,5,5,15,15.5,55,VIP Customers,3,-1.9202429368782459,0.1490358932221234
10141,62,15,298.62,15,22,2024-03-11 19:20:00,2025-03-10 22:17:00,Spain,7,19.91,3,3,2,8,8.3,33,Occasional Buyers,0,-0.05702518906876499,-0.3846855692900706
10142,100,13,290.0,13,19,2024-03-31 11:18:00,2025-01-31 20:31:00,France,8,22.31,2,3,2,7,7.3,23,Occasional Buyers,0,0.3401811813882449,0.022460294464397276
10143,32,33,1639.77,33,89,2024-01-27 15:50:00,2025-04-10 13:26:00,Spain,12,49.69,5,5,5,15,15.5,55,VIP Customers,3,-1.6246678965437866,0.0944728997085578
10144,15,42,1554.77,42,101,2024-02-04 22:27:00,2025-04-27 09:07:00,Spain,12,37.02,5,5,5,15,15.5,55,VIP Customers,3,-1.8888687386662122,-0.041238414275460676
