InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue,InvoiceMonth,InvoiceDay
543509,22633,HAND WARMER UNION JACK,2,2011-11-28 08:49:00,2.01,13271,United Kingdom,4.02,2011-11,2011-11-28
538496,22467,GUMBALL COAT RACK,4,2011-09-15 12:38:00,2.16,12638,United Kingdom,8.64,2011-09,2011-09-15
538632,22748,POPPY'S PLAYHOUSE KITCHEN,2,2011-08-22 16:28:00,2.88,12646,United Kingdom,5.76,2011-08,2011-08-22
537610,84406B,CREAM CUPID HEARTS COAT HANGER,2,2011-10-06 07:00:00,2.38,12519,United Kingdom,4.76,2011-10,2011-10-06
548289,23355,HOT WATER BOTTLE KEEP CALM,6,2011-09-29 18:25:00,4.14,13862,United Kingdom,24.84,2011-09,2011-09-29
538435,22745,POPPY'S PLAYHOUSE BEDROOM,1,2011-07-29 12:45:00,2.36,12632,United Kingdom,2.36,2011-07,2011-07-29
538237,21175,GIN + TONIC DIET METAL SIGN,4,2011-10-15 18:55:00,1.98,12603,United Kingdom,7.92,2011-10,2011-10-15
546506,22386,JUMBO BAG PINK POLKADOT,3,2011-04-10 15:34:00,2.92,13653,United Kingdom,8.76,2011-04,2011-04-10
550602,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,1,2011-06-11 12:50:00,3.82,14193,Spain,3.82,2011-06,2011-06-11
542927,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2011-12-03 10:39:00,2.54,13189,United Kingdom,7.62,2011-12,2011-12-03
546178,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,1,2011-03-11 07:12:00,4.34,13609,Netherlands,4.34,2011-03,2011-03-11
545462,22659,LUNCH BAG CARS BLUE,1,2011-09-23 18:27:00,2.69,13505,United Kingdom,2.69,2011-09,2011-09-23
548747,21175,GIN + TONIC DIET METAL SIGN,1,2011-12-01 19:20:00,2.45,13929,Canada,2.45,2011-12,2011-12-01
542171,22745,POPPY'S PLAYHOUSE BEDROOM,2,2011-05-12 19:35:00,2.71,13085,Sweden,5.42,2011-05,2011-05-12
548957,22745,POPPY'S PLAYHOUSE BEDROOM,3,2011-06-25 18:38:00,2.56,13965,France,7.68,2011-06,2011-06-25
549006,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2011-05-11 12:53:00,2.12,13968,United Kingdom,2.12,2011-05,2011-05-11
547634,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2011-10-05 17:15:00,4.3,13774,Spain,4.3,2011-10,2011-10-05
537455,22698,PINK REGENCY TEACUP AND SAUCER,2,2011-05-30 13:04:00,2.77,12493,United Kingdom,5.54,2011-05,2011-05-30
538652,23356,HOT WATER BOTTLE TEA AND SYMPATHY,1,2011-02-08 13:51:00,5.36,12649,United Kingdom,5.36,2011-02,2011-02-08
550788,22086,PAPER CHAIN KIT 50'S CHRISTMAS,3,2011-11-15 14:38:00,3.19,14231,United Kingdom,9.57,2011-11,2011-11-15
541346,22722,SET OF 6 SOLDIER SKITTLES,4,2011-06-12 17:08:00,7.73,12986,United Kingdom,30.92,2011-06,2011-06-12
540296,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,1,2011-08-15 12:32:00,2.59,12856,United Kingdom,2.59,2011-08,2011-08-15
549776,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,4,2011-03-09 16:22:00,5.55,14068,Germany,22.2,2011-03,2011-03-09
538802,22386,JUMBO BAG PINK POLKADOT,3,2011-11-20 09:04:00,2.03,12669,United Kingdom,6.09,2011-11,2011-11-20
548922,23298,SPOTTY BUNNY DOORSTOP,1,2011-12-02 09:52:00,6.95,13965,France,6.95,2011-12,2011-12-02
543860,23301,GARDENERS KNEELING PAD KEEP CALM,5,2010-12-19 13:06:00,2.4,13315,France,12.0,2010-12,2010-12-19
540451,21928,JUMBO BAG WOODLAND ANIMALS,8,2011-06-08 12:27:00,1.88,12869,United Kingdom,15.04,2011-06,2011-06-08
540627,22552,PLASTERS IN TIN STRONGMAN,6,2011-10-14 07:05:00,1.71,12892,United Kingdom,10.26,2011-10,2011-10-14
548932,22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,1,2011-12-05 13:16:00,1.7,13965,France,1.7,2011-12,2011-12-05
541127,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,23,2011-11-01 13:40:00,3.72,12956,United Kingdom,85.56,2011-11,2011-11-01
541568,21232,STRAWBERRY CERAMIC TRINKET BOX,4,2011-04-13 19:42:00,1.23,13009,United Kingdom,4.92,2011-04,2011-04-13
538653,22470,HEART OF WICKER LARGE,2,2011-07-27 08:10:00,3.58,12649,United Kingdom,7.16,2011-07,2011-07-27
536697,22993,SET OF 4 PANTRY JELLY MOULDS,9,2011-07-28 10:54:00,1.42,12391,United Kingdom,12.78,2011-07,2011-07-28
548349,23301,GARDENERS KNEELING PAD KEEP CALM,2,2011-08-11 10:45:00,1.95,13873,United Kingdom,3.9,2011-08,2011-08-11
548498,22580,ADVENT CALENDAR GINGHAM SACK,2,2011-06-04 12:25:00,2.96,13891,United Kingdom,5.92,2011-06,2011-06-04
537980,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,7,2011-11-14 19:31:00,4.13,12565,United Kingdom,28.91,2011-11,2011-11-14
548941,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1,2011-01-11 09:56:00,3.84,13965,France,3.84,2011-01,2011-01-11
544445,23355,HOT WATER BOTTLE KEEP CALM,6,2011-12-08 11:05:00,6.43,13395,USA,38.58,2011-12,2011-12-08
537070,22467,GUMBALL COAT RACK,4,2011-05-15 17:24:00,3.09,12422,United Kingdom,12.36,2011-05,2011-05-15
545111,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2011-08-27 11:15:00,4.5,13464,United Kingdom,4.5,2011-08,2011-08-27
539694,22469,HEART OF WICKER SMALL,1,2010-12-29 07:57:00,1.61,12782,United Kingdom,1.61,2010-12,2010-12-29
536929,22383,LUNCH BAG SUKI DESIGN,1,2011-10-05 10:53:00,2.11,12415,France,2.11,2011-10,2011-10-05
545179,21232,STRAWBERRY CERAMIC TRINKET BOX,1,2011-01-18 12:45:00,1.47,13473,United Kingdom,1.47,2011-01,2011-01-18
543776,22633,HAND WARMER UNION JACK,1,2011-06-10 08:46:00,2.27,13310,United Kingdom,2.27,2011-06,2011-06-10
541043,21175,GIN + TONIC DIET METAL SIGN,14,2011-04-30 13:08:00,2.11,12946,Spain,29.54,2011-04,2011-04-30
545593,22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,2,2011-01-17 19:27:00,1.02,13524,Germany,2.04,2011-01,2011-01-17
541155,22722,SET OF 6 SOLDIER SKITTLES,4,2011-10-11 17:35:00,6.35,12959,United Kingdom,25.4,2011-10,2011-10-11
549489,23356,HOT WATER BOTTLE TEA AND SYMPATHY,2,2011-08-10 19:54:00,5.85,14038,United Kingdom,11.7,2011-08,2011-08-10
540118,23356,HOT WATER BOTTLE TEA AND SYMPATHY,5,2011-12-02 12:11:00,4.14,12832,Spain,20.7,2011-12,2011-12-02
545350,22698,PINK REGENCY TEACUP AND SAUCER,1,2011-08-24 19:36:00,3.71,13492,United Kingdom,3.71,2011-08,2011-08-24
546714,21232,STRAWBERRY CERAMIC TRINKET BOX,19,2011-04-16 11:28:00,0.98,13679,United Kingdom,18.62,2011-04,2011-04-16
545089,22580,ADVENT CALENDAR GINGHAM SACK,1,2011-09-10 08:03:00,3.86,13464,United Kingdom,3.86,2011-09,2011-09-10
548604,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,3,2011-09-29 08:54:00,4.13,13909,United Kingdom,12.39,2011-09,2011-09-29
540074,22551,PLASTERS IN TIN SPACEBOY,1,2011-10-14 09:11:00,1.46,12826,United Kingdom,1.46,2011-10,2011-10-14
540516,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,3,2011-10-23 18:54:00,5.66,12876,United Kingdom,16.98,2011-10,2011-10-23
536601,22633,HAND WARMER UNION JACK,3,2011-05-16 16:20:00,2.32,12382,United Kingdom,6.96,2011-05,2011-05-16
542317,22492,MINI PAINT SET VINTAGE,1,2011-10-11 09:20:00,0.88,13101,United Kingdom,0.88,2011-10,2011-10-11
544660,23355,HOT WATER BOTTLE KEEP CALM,7,2011-11-28 13:02:00,4.91,13418,United Kingdom,34.37,2011-11,2011-11-28
550117,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1,2011-04-05 09:51:00,2.87,14105,United Kingdom,2.87,2011-04,2011-04-05
551366,23298,SPOTTY BUNNY DOORSTOP,1,2010-12-12 12:40:00,7.62,14304,Australia,7.62,2010-12,2010-12-12
541041,10002,INFLATABLE POLITICAL GLOBE,2,2011-02-06 09:49:00,0.92,12946,Spain,1.84,2011-02,2011-02-06
537557,22752,SET 7 BABUSHKA NESTING BOXES,7,2011-10-01 09:57:00,6.52,12507,Spain,45.64,2011-10,2011-10-01
550821,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,1,2011-06-23 10:13:00,5.63,14233,United Kingdom,5.63,2011-06,2011-06-23
547221,22752,SET 7 BABUSHKA NESTING BOXES,1,2011-08-31 09:11:00,10.99,13738,United Kingdom,10.99,2011-08,2011-08-31
551600,22632,HAND WARMER RED POLKA DOT,2,2011-08-08 07:42:00,1.74,14331,United Kingdom,3.48,2011-08,2011-08-08
550234,21928,JUMBO BAG WOODLAND ANIMALS,1,2011-09-14 15:57:00,2.33,14126,Netherlands,2.33,2011-09,2011-09-14
550798,22469,HEART OF WICKER SMALL,5,2011-05-15 12:05:00,2.35,14233,United Kingdom,11.75,2011-05,2011-05-15
540635,22633,HAND WARMER UNION JACK,3,2011-11-09 07:57:00,2.06,12892,United Kingdom,6.18,2011-11,2011-11-09
549488,47566,PARTY BUNTING,1,2011-06-17 13:00:00,4.9,14038,United Kingdom,4.9,2011-06,2011-06-17
537523,47566,PARTY BUNTING,1,2011-04-08 17:17:00,4.72,12501,United Kingdom,4.72,2011-04,2011-04-08
542528,22469,HEART OF WICKER SMALL,3,2011-10-30 12:26:00,2.42,13130,United Kingdom,7.26,2011-10,2011-10-30
542181,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2011-02-26 19:41:00,3.71,13086,United Kingdom,14.84,2011-02,2011-02-26
548964,22469,HEART OF WICKER SMALL,4,2011-05-29 15:05:00,2.12,13965,France,8.48,2011-05,2011-05-29
543791,21175,GIN + TONIC DIET METAL SIGN,1,2011-07-11 18:02:00,2.24,13311,United Kingdom,2.24,2011-07,2011-07-11
548575,21928,JUMBO BAG WOODLAND ANIMALS,1,2011-10-12 09:22:00,2.18,13901,Switzerland,2.18,2011-10,2011-10-12
550509,22698,PINK REGENCY TEACUP AND SAUCER,7,2011-06-11 12:39:00,2.92,14173,United Kingdom,20.44,2011-06,2011-06-11
545894,22580,ADVENT CALENDAR GINGHAM SACK,2,2011-07-05 19:18:00,2.4,13576,United Kingdom,4.8,2011-07,2011-07-05
538925,84029E,RED WOOLLY HOTTIE WHITE HEART.,2,2011-06-13 09:06:00,3.73,12685,United Kingdom,7.46,2011-06,2011-06-13
550626,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,1,2011-09-19 19:34:00,3.03,14202,United Kingdom,3.03,2011-09,2011-09-19
547769,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2011-03-25 14:47:00,6.55,13798,United Kingdom,26.2,2011-03,2011-03-25
551148,22698,PINK REGENCY TEACUP AND SAUCER,17,2011-11-01 08:58:00,3.73,14274,United Kingdom,63.41,2011-11,2011-11-01
548742,22697,GREEN REGENCY TEACUP AND SAUCER,1,2011-10-30 17:56:00,3.49,13929,Canada,3.49,2011-10,2011-10-30
544238,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2011-10-05 12:56:00,2.68,13370,United Kingdom,16.08,2011-10,2011-10-05
542634,22551,PLASTERS IN TIN SPACEBOY,1,2011-10-10 07:02:00,1.8,13143,United Kingdom,1.8,2011-10,2011-10-10
545205,22748,POPPY'S PLAYHOUSE KITCHEN,5,2011-12-04 15:11:00,2.51,13475,United Kingdom,12.55,2011-12,2011-12-04
549166,22623,BOX OF VINTAGE JIGSAW BLOCKS,2,2010-12-30 17:39:00,5.61,13980,United Kingdom,11.22,2010-12,2010-12-30
545868,22748,POPPY'S PLAYHOUSE KITCHEN,1,2011-10-05 17:18:00,2.43,13573,United Kingdom,2.43,2011-10,2011-10-05
546549,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,3,2011-07-23 15:48:00,4.45,13659,France,13.35,2011-07,2011-07-23
549002,22632,HAND WARMER RED POLKA DOT,5,2011-10-27 10:41:00,2.11,13968,United Kingdom,10.55,2011-10,2011-10-27
545649,22469,HEART OF WICKER SMALL,13,2011-10-26 14:18:00,1.44,13537,United Kingdom,18.72,2011-10,2011-10-26
545373,22326,ROUND SNACK BOXES SET OF4 WOODLAND,1,2011-06-28 07:09:00,3.23,13493,France,3.23,2011-06,2011-06-28
549145,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2011-03-22 19:25:00,5.6,13979,United Kingdom,5.6,2011-03,2011-03-22
544987,23298,SPOTTY BUNNY DOORSTOP,4,2011-06-26 12:14:00,6.32,13450,Belgium,25.28,2011-06,2011-06-26
538064,22386,JUMBO BAG PINK POLKADOT,2,2011-11-05 19:28:00,1.84,12577,United Kingdom,3.68,2011-11,2011-11-05
547350,22551,PLASTERS IN TIN SPACEBOY,2,2011-06-25 19:59:00,2.39,13749,United Kingdom,4.78,2011-06,2011-06-25
538921,22469,HEART OF WICKER SMALL,2,2011-03-14 11:46:00,1.66,12685,United Kingdom,3.32,2011-03,2011-03-14
544582,23298,SPOTTY BUNNY DOORSTOP,1,2011-05-11 10:25:00,4.08,13405,United Kingdom,4.08,2011-05,2011-05-11
545919,22467,GUMBALL COAT RACK,2,2011-07-22 10:36:00,2.74,13579,United Kingdom,5.48,2011-07,2011-07-22
545444,22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,1,2011-11-29 17:43:00,1.74,13505,United Kingdom,1.74,2011-11,2011-11-29
539202,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2011-10-25 10:25:00,2.45,12714,United Kingdom,2.45,2011-10,2011-10-25
547469,22469,HEART OF WICKER SMALL,1,2011-03-02 07:22:00,2.3,13763,United Kingdom,2.3,2011-03,2011-03-02
550892,21175,GIN + TONIC DIET METAL SIGN,1,2011-10-25 13:28:00,1.89,14237,United Kingdom,1.89,2011-10,2011-10-25
544420,22697,GREEN REGENCY TEACUP AND SAUCER,1,2011-06-16 12:26:00,3.86,13395,USA,3.86,2011-06,2011-06-16
542553,21232,STRAWBERRY CERAMIC TRINKET BOX,3,2011-08-07 07:18:00,1.91,13130,United Kingdom,5.73,2011-08,2011-08-07
539313,22632,HAND WARMER RED POLKA DOT,5,2011-03-25 15:06:00,1.73,12726,United Kingdom,8.65,2011-03,2011-03-25
540813,22382,LUNCH BAG SPACEBOY DESIGN,1,2011-11-22 11:47:00,1.74,12913,United Kingdom,1.74,2011-11,2011-11-22
547040,22748,POPPY'S PLAYHOUSE KITCHEN,1,2011-09-27 19:57:00,3.33,13715,United Kingdom,3.33,2011-09,2011-09-27
546590,22552,PLASTERS IN TIN STRONGMAN,1,2011-08-03 17:21:00,2.14,13662,United Kingdom,2.14,2011-08,2011-08-03
543007,22383,LUNCH BAG SUKI DESIGN,3,2011-07-08 16:30:00,1.63,13202,United Kingdom,4.89,2011-07,2011-07-08
547022,71053,WHITE METAL LANTERN,3,2011-04-25 09:34:00,4.71,13715,United Kingdom,14.13,2011-04,2011-04-25
538732,22470,HEART OF WICKER LARGE,2,2011-09-29 11:42:00,2.95,12659,United Kingdom,5.9,2011-09,2011-09-29
549744,22383,LUNCH BAG SUKI DESIGN,1,2011-11-02 07:27:00,2.22,14066,United Kingdom,2.22,2011-11,2011-11-02
538256,23301,GARDENERS KNEELING PAD KEEP CALM,2,2011-05-26 10:43:00,2.34,12606,United Kingdom,4.68,2011-05,2011-05-26
547783,22698,PINK REGENCY TEACUP AND SAUCER,2,2011-01-27 09:28:00,4.09,13798,United Kingdom,8.18,2011-01,2011-01-27
540476,22697,GREEN REGENCY TEACUP AND SAUCER,2,2011-08-31 14:32:00,3.22,12873,United Kingdom,6.44,2011-08,2011-08-31
550890,22633,HAND WARMER UNION JACK,1,2011-11-17 14:55:00,2.23,14235,France,2.23,2011-11,2011-11-17
548037,21928,JUMBO BAG WOODLAND ANIMALS,3,2011-11-11 12:22:00,2.55,13827,United Kingdom,7.65,2011-11,2011-11-11
549553,22745,POPPY'S PLAYHOUSE BEDROOM,1,2011-06-01 12:57:00,2.42,14047,United Kingdom,2.42,2011-06,2011-06-01
543066,23298,SPOTTY BUNNY DOORSTOP,5,2010-12-06 08:49:00,4.38,13205,United Kingdom,21.9,2010-12,2010-12-06
547877,22552,PLASTERS IN TIN STRONGMAN,2,2011-07-17 19:13:00,1.62,13806,United Kingdom,3.24,2011-07,2011-07-17
543774,22698,PINK REGENCY TEACUP AND SAUCER,1,2011-04-06 13:57:00,3.59,13310,United Kingdom,3.59,2011-04,2011-04-06
549880,22623,BOX OF VINTAGE JIGSAW BLOCKS,3,2011-07-14 13:24:00,4.82,14073,United Kingdom,14.46,2011-07,2011-07-14
538110,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,7,2011-09-09 08:45:00,2.99,12583,United Kingdom,20.93,2011-09,2011-09-09
546381,23298,SPOTTY BUNNY DOORSTOP,1,2011-03-18 11:25:00,4.45,13639,United Kingdom,4.45,2011-03,2011-03-18
541836,22748,POPPY'S PLAYHOUSE KITCHEN,1,2011-08-05 12:21:00,3.04,13041,United Kingdom,3.04,2011-08,2011-08-05
551473,22469,HEART OF WICKER SMALL,6,2011-05-08 15:42:00,1.82,14321,United Kingdom,10.92,2011-05,2011-05-08
547873,23355,HOT WATER BOTTLE KEEP CALM,2,2011-08-01 14:31:00,4.59,13806,United Kingdom,9.18,2011-08,2011-08-01
545986,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,9,2011-01-07 09:11:00,3.78,13585,United Kingdom,34.02,2011-01,2011-01-07
542331,84406B,CREAM CUPID HEARTS COAT HANGER,2,2010-12-25 16:11:00,3.26,13101,United Kingdom,6.52,2010-12,2010-12-25
540726,71053,WHITE METAL LANTERN,1,2011-02-17 10:57:00,3.79,12905,United Kingdom,3.79,2011-02,2011-02-17
541820,22552,PLASTERS IN TIN STRONGMAN,5,2011-02-16 18:43:00,1.46,13040,Netherlands,7.3,2011-02,2011-02-16
548584,23084,RABBIT NIGHT LIGHT,1,2011-11-09 08:53:00,1.68,13904,United Kingdom,1.68,2011-11,2011-11-09
548957,22633,HAND WARMER UNION JACK,3,2011-06-25 18:38:00,2.53,13965,France,7.59,2011-06,2011-06-25
550206,21176,CHOCOLATE HOT WATER BOTTLE,1,2011-11-16 09:22:00,4.41,14124,United Kingdom,4.41,2011-11,2011-11-16
540625,22752,SET 7 BABUSHKA NESTING BOXES,2,2011-11-18 08:41:00,9.0,12892,United Kingdom,18.0,2011-11,2011-11-18
538891,22326,ROUND SNACK BOXES SET OF4 WOODLAND,4,2011-11-16 16:48:00,2.98,12684,United Kingdom,11.92,2011-11,2011-11-16
539789,71053,WHITE METAL LANTERN,2,2011-07-11 15:13:00,5.48,12786,United Kingdom,10.96,2011-07,2011-07-11
546657,23356,HOT WATER BOTTLE TEA AND SYMPATHY,3,2011-09-18 16:57:00,4.9,13668,United Kingdom,14.7,2011-09,2011-09-18
543030,10002,INFLATABLE POLITICAL GLOBE,3,2011-06-03 13:46:00,0.86,13203,Switzerland,2.58,2011-06,2011-06-03
536960,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,2,2011-08-30 08:32:00,2.29,12417,United Kingdom,4.58,2011-08,2011-08-30
551014,22722,SET OF 6 SOLDIER SKITTLES,3,2011-04-18 17:32:00,5.81,14259,United Kingdom,17.43,2011-04,2011-04-18
544800,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1,2011-07-28 12:28:00,2.63,13437,United Kingdom,2.63,2011-07,2011-07-28
549279,22722,SET OF 6 SOLDIER SKITTLES,4,2011-06-21 10:56:00,6.18,14005,United Kingdom,24.72,2011-06,2011-06-21
549204,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,3,2011-11-24 12:24:00,2.02,13986,United Kingdom,6.06,2011-11,2011-11-24
546096,22551,PLASTERS IN TIN SPACEBOY,3,2011-06-23 12:41:00,1.47,13600,United Kingdom,4.41,2011-06,2011-06-23
547969,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2011-10-31 13:20:00,2.83,13820,United Kingdom,5.66,2011-10,2011-10-31
545470,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,6,2011-07-22 13:03:00,2.91,13505,United Kingdom,17.46,2011-07,2011-07-22
539762,22469,HEART OF WICKER SMALL,1,2011-04-01 12:04:00,2.61,12786,United Kingdom,2.61,2011-04,2011-04-01
546331,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,1,2011-11-02 17:51:00,4.71,13631,United Kingdom,4.71,2011-11,2011-11-02
547674,23298,SPOTTY BUNNY DOORSTOP,1,2011-08-04 11:59:00,6.28,13780,Belgium,6.28,2011-08,2011-08-04
542625,22552,PLASTERS IN TIN STRONGMAN,1,2011-10-11 13:01:00,1.67,13140,United Kingdom,1.67,2011-10,2011-10-11
540068,22086,PAPER CHAIN KIT 50'S CHRISTMAS,4,2011-06-17 16:55:00,2.58,12826,United Kingdom,10.32,2011-06,2011-06-17
538728,22993,SET OF 4 PANTRY JELLY MOULDS,5,2011-11-04 14:16:00,1.3,12659,United Kingdom,6.5,2011-11,2011-11-04
548518,22470,HEART OF WICKER LARGE,9,2011-05-08 16:36:00,3.1,13894,United Kingdom,27.9,2011-05,2011-05-08
539414,84406B,CREAM CUPID HEARTS COAT HANGER,1,2011-08-22 11:42:00,3.22,12739,United Kingdom,3.22,2011-08,2011-08-22
542536,22467,GUMBALL COAT RACK,1,2011-05-11 15:32:00,4.03,13130,United Kingdom,4.03,2011-05,2011-05-11
545807,23356,HOT WATER BOTTLE TEA AND SYMPATHY,1,2011-10-12 12:13:00,5.77,13569,United Kingdom,5.77,2011-10,2011-10-12
536819,22551,PLASTERS IN TIN SPACEBOY,1,2011-11-10 09:40:00,1.48,12407,Sweden,1.48,2011-11,2011-11-10
547567,84406B,CREAM CUPID HEARTS COAT HANGER,3,2011-01-27 17:28:00,3.75,13771,United Kingdom,11.25,2011-01,2011-01-27
541643,23301,GARDENERS KNEELING PAD KEEP CALM,2,2011-10-06 13:48:00,1.76,13016,United Kingdom,3.52,2011-10,2011-10-06
546861,84406B,CREAM CUPID HEARTS COAT HANGER,3,2011-12-04 10:10:00,2.35,13698,United Kingdom,7.05,2011-12,2011-12-04
537154,21232,STRAWBERRY CERAMIC TRINKET BOX,1,2011-11-22 13:41:00,0.92,12435,United Kingdom,0.92,2011-11,2011-11-22
551583,22086,PAPER CHAIN KIT 50'S CHRISTMAS,3,2011-07-23 15:58:00,2.23,14330,United Kingdom,6.69,2011-07,2011-07-23
548481,22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,3,2011-07-10 08:02:00,1.41,13889,United Kingdom,4.23,2011-07,2011-07-10
544071,22492,MINI PAINT SET VINTAGE,4,2011-09-09 11:20:00,0.81,13344,United Kingdom,3.24,2011-09,2011-09-09
551352,22623,BOX OF VINTAGE JIGSAW BLOCKS,2,2011-05-13 16:09:00,7.5,14304,Australia,15.0,2011-05,2011-05-13
547601,22745,POPPY'S PLAYHOUSE BEDROOM,2,2011-11-30 15:30:00,2.46,13774,Spain,4.92,2011-11,2011-11-30
549486,47566,PARTY BUNTING,1,2011-05-14 17:06:00,5.84,14038,United Kingdom,5.84,2011-05,2011-05-14
547357,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,2,2011-07-03 18:18:00,3.04,13749,United Kingdom,6.08,2011-07,2011-07-03
545319,22623,BOX OF VINTAGE JIGSAW BLOCKS,1,2011-02-06 18:22:00,6.18,13492,United Kingdom,6.18,2011-02,2011-02-06
539158,22993,SET OF 4 PANTRY JELLY MOULDS,2,2011-09-15 09:51:00,1.5,12706,United Kingdom,3.0,2011-09,2011-09-15
537818,22382,LUNCH BAG SPACEBOY DESIGN,2,2011-11-30 12:39:00,1.63,12546,United Kingdom,3.26,2011-11,2011-11-30
537198,22326,ROUND SNACK BOXES SET OF4 WOODLAND,1,2011-05-29 11:32:00,2.87,12448,United Kingdom,2.87,2011-05,2011-05-29
