InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
546506,22386,JUMBO BAG PINK POLKADOT,3,2011-04-10 15:34:00,2.92,13653.0,United Kingdom
550602,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,1,2011-06-11 12:50:00,3.82,14193.0,Spain
540040,84029E,RED WOOLLY HOTTIE WHITE HEART.,1,2011-02-18 09:31:00,2.8,,United Kingdom
542927,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2011-12-03 10:39:00,2.54,13189.0,United Kingdom
546178,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,1,2011-03-11 07:12:00,4.34,13609.0,Netherlands
545462,22659,LUNCH BAG CARS BLUE,1,2011-09-23 18:27:00,2.69,13505.0,United Kingdom
548747,21175,GIN + TONIC DIET METAL SIGN,1,2011-12-01 19:20:00,2.45,13929.0,Canada
542171,22745,POPPY'S PLAYHOUSE BEDROOM,2,2011-05-12 19:35:00,2.71,13085.0,Sweden
548957,22745,POPPY'S PLAYHOUSE BEDROOM,3,2011-06-25 18:38:00,2.56,13965.0,France
549006,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2011-05-11 12:53:00,2.12,13968.0,United Kingdom
547634,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2011-10-05 17:15:00,4.3,13774.0,Spain
537455,22698,PINK REGENCY TEACUP AND SAUCER,2,2011-05-30 13:04:00,2.77,12493.0,United Kingdom
541782,23298,SPOTTY BUNNY DOORSTOP,5,2011-11-25 15:47:00,4.91,,Spain
538652,23356,HOT WATER BOTTLE TEA AND SYMPATHY,1,2011-02-08 13:51:00,5.36,12649.0,United Kingdom
550788,22086,PAPER CHAIN KIT 50'S CHRISTMAS,3,2011-11-15 14:38:00,3.19,14231.0,United Kingdom
541346,22722,SET OF 6 SOLDIER SKITTLES,4,2011-06-12 17:08:00,7.73,12986.0,United Kingdom
540296,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,1,2011-08-15 12:32:00,2.59,12856.0,United Kingdom
549776,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,4,2011-03-09 16:22:00,5.55,14068.0,Germany
538802,22386,JUMBO BAG PINK POLKADOT,3,2011-11-20 09:04:00,2.03,12669.0,United Kingdom
548922,23298,SPOTTY BUNNY DOORSTOP,1,2011-12-02 09:52:00,6.95,13965.0,France
543860,23301,GARDENERS KNEELING PAD KEEP CALM,5,2010-12-19 13:06:00,2.4,13315.0,France
540451,21928,JUMBO BAG WOODLAND ANIMALS,8,2011-06-08 12:27:00,1.88,12869.0,United Kingdom
540627,22552,PLASTERS IN TIN STRONGMAN,6,2011-10-14 07:05:00,1.71,12892.0,United Kingdom
548932,22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,1,2011-12-05 13:16:00,1.7,13965.0,France
541127,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,23,2011-11-01 13:40:00,3.72,12956.0,United Kingdom
551228,22745,POPPY'S PLAYHOUSE BEDROOM,4,2010-12-26 11:00:00,2.21,,United Kingdom
541568,21232,STRAWBERRY CERAMIC TRINKET BOX,4,2011-04-13 19:42:00,1.23,13009.0,United Kingdom
538653,22470,HEART OF WICKER LARGE,2,2011-07-27 08:10:00,3.58,12649.0,United Kingdom
536697,22993,SET OF 4 PANTRY JELLY MOULDS,9,2011-07-28 10:54:00,1.42,12391.0,United Kingdom
548349,23301,GARDENERS KNEELING PAD KEEP CALM,2,2011-08-11 10:45:00,1.95,13873.0,United Kingdom
542649,10002,INFLATABLE POLITICAL GLOBE,1,2011-08-17 10:25:00,0.81,,United Kingdom
548498,22580,ADVENT CALENDAR GINGHAM SACK,2,2011-06-04 12:25:00,2.96,13891.0,United Kingdom
537980,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,7,2011-11-14 19:31:00,4.13,12565.0,United Kingdom
548941,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1,2011-01-11 09:56:00,3.84,13965.0,France
544445,23355,HOT WATER BOTTLE KEEP CALM,6,2011-12-08 11:05:00,6.43,13395.0,USA
537070,22467,GUMBALL COAT RACK,4,2011-05-15 17:24:00,3.09,12422.0,United Kingdom
545111,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2011-08-27 11:15:00,4.5,13464.0,United Kingdom
539694,22469,HEART OF WICKER SMALL,1,2010-12-29 07:57:00,1.61,12782.0,United Kingdom
536929,22383,LUNCH BAG SUKI DESIGN,1,2011-10-05 10:53:00,2.11,12415.0,France
545179,21232,STRAWBERRY CERAMIC TRINKET BOX,1,2011-01-18 12:45:00,1.47,13473.0,United Kingdom
543776,22633,HAND WARMER UNION JACK,1,2011-06-10 08:46:00,2.27,13310.0,United Kingdom
541043,21175,GIN + TONIC DIET METAL SIGN,14,2011-04-30 13:08:00,2.11,12946.0,Spain
545593,22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,2,2011-01-17 19:27:00,1.02,13524.0,Germany
541155,22722,SET OF 6 SOLDIER SKITTLES,4,2011-10-11 17:35:00,6.35,12959.0,United Kingdom
549489,23356,HOT WATER BOTTLE TEA AND SYMPATHY,2,2011-08-10 19:54:00,5.85,14038.0,United Kingdom
540118,23356,HOT WATER BOTTLE TEA AND SYMPATHY,5,2011-12-02 12:11:00,4.14,12832.0,Spain
545350,22698,PINK REGENCY TEACUP AND SAUCER,1,2011-08-24 19:36:00,3.71,13492.0,United Kingdom
546714,21232,STRAWBERRY CERAMIC TRINKET BOX,19,2011-04-16 11:28:00,0.98,13679.0,United Kingdom
545089,22580,ADVENT CALENDAR GINGHAM SACK,1,2011-09-10 08:03:00,3.86,13464.0,United Kingdom
548604,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,3,2011-09-29 08:54:00,4.13,13909.0,United Kingdom
540074,22551,PLASTERS IN TIN SPACEBOY,1,2011-10-14 09:11:00,1.46,12826.0,United Kingdom
540516,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,3,2011-10-23 18:54:00,5.66,12876.0,United Kingdom
536601,22633,HAND WARMER UNION JACK,3,2011-05-16 16:20:00,2.32,12382.0,United Kingdom
542317,22492,MINI PAINT SET VINTAGE,1,2011-10-11 09:20:00,0.88,13101.0,United Kingdom
544660,23355,HOT WATER BOTTLE KEEP CALM,7,2011-11-28 13:02:00,4.91,13418.0,United Kingdom
550117,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1,2011-04-05 09:51:00,2.87,14105.0,United Kingdom
551366,23298,SPOTTY BUNNY DOORSTOP,1,2010-12-12 12:40:00,7.62,14304.0,Australia
541041,10002,INFLATABLE POLITICAL GLOBE,2,2011-02-06 09:49:00,0.92,12946.0,Spain
537557,22752,SET 7 BABUSHKA NESTING BOXES,7,2011-10-01 09:57:00,6.52,12507.0,Spain
550821,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,1,2011-06-23 10:13:00,5.63,14233.0,United Kingdom
547221,22752,SET 7 BABUSHKA NESTING BOXES,1,2011-08-31 09:11:00,10.99,13738.0,United Kingdom
551600,22632,HAND WARMER RED POLKA DOT,2,2011-08-08 07:42:00,1.74,14331.0,United Kingdom
550234,21928,JUMBO BAG WOODLAND ANIMALS,1,2011-09-14 15:57:00,2.33,14126.0,Netherlands
550798,22469,HEART OF WICKER SMALL,5,2011-05-15 12:05:00,2.35,14233.0,United Kingdom
540635,22633,HAND WARMER UNION JACK,3,2011-11-09 07:57:00,2.06,12892.0,United Kingdom
549488,47566,PARTY BUNTING,1,2011-06-17 13:00:00,4.9,14038.0,United Kingdom
537523,47566,PARTY BUNTING,1,2011-04-08 17:17:00,4.72,12501.0,United Kingdom
542528,22469,HEART OF WICKER SMALL,3,2011-10-30 12:26:00,2.42,13130.0,United Kingdom
542181,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2011-02-26 19:41:00,3.71,13086.0,United Kingdom
548964,22469,HEART OF WICKER SMALL,4,2011-05-29 15:05:00,2.12,13965.0,France
543791,21175,GIN + TONIC DIET METAL SIGN,1,2011-07-11 18:02:00,2.24,13311.0,United Kingdom
550104,21176,CHOCOLATE HOT WATER BOTTLE,2,2011-03-28 11:37:00,4.44,,United Kingdom
548575,21928,JUMBO BAG WOODLAND ANIMALS,1,2011-10-12 09:22:00,2.18,13901.0,Switzerland
550509,22698,PINK REGENCY TEACUP AND SAUCER,7,2011-06-11 12:39:00,2.92,14173.0,United Kingdom
545894,22580,ADVENT CALENDAR GINGHAM SACK,2,2011-07-05 19:18:00,2.4,13576.0,United Kingdom
538925,84029E,RED WOOLLY HOTTIE WHITE HEART.,2,2011-06-13 09:06:00,3.73,12685.0,United Kingdom
550626,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,1,2011-09-19 19:34:00,3.03,14202.0,United Kingdom
547769,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2011-03-25 14:47:00,6.55,13798.0,United Kingdom
551148,22698,PINK REGENCY TEACUP AND SAUCER,17,2011-11-01 08:58:00,3.73,14274.0,United Kingdom
548742,22697,GREEN REGENCY TEACUP AND SAUCER,1,2011-10-30 17:56:00,3.49,13929.0,Canada
544238,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2011-10-05 12:56:00,2.68,13370.0,United Kingdom
542634,22551,PLASTERS IN TIN SPACEBOY,1,2011-10-10 07:02:00,1.8,13143.0,United Kingdom
545205,22748,POPPY'S PLAYHOUSE KITCHEN,5,2011-12-04 15:11:00,2.51,13475.0,United Kingdom
549166,22623,BOX OF VINTAGE JIGSAW BLOCKS,2,2010-12-30 17:39:00,5.61,13980.0,United Kingdom
545868,22748,POPPY'S PLAYHOUSE KITCHEN,1,2011-10-05 17:18:00,2.43,13573.0,United Kingdom
546549,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,3,2011-07-23 15:48:00,4.45,13659.0,France
549002,22632,HAND WARMER RED POLKA DOT,5,2011-10-27 10:41:00,2.11,13968.0,United Kingdom
545649,22469,HEART OF WICKER SMALL,13,2011-10-26 14:18:00,1.44,13537.0,United Kingdom
545373,22326,ROUND SNACK BOXES SET OF4 WOODLAND,1,2011-06-28 07:09:00,3.23,13493.0,France
549145,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2011-03-22 19:25:00,5.6,13979.0,United Kingdom
544987,23298,SPOTTY BUNNY DOORSTOP,4,2011-06-26 12:14:00,6.32,13450.0,Belgium
538064,22386,JUMBO BAG PINK POLKADOT,2,2011-11-05 19:28:00,1.84,12577.0,United Kingdom
547350,22551,PLASTERS IN TIN SPACEBOY,2,2011-06-25 19:59:00,2.39,13749.0,United Kingdom
538921,22469,HEART OF WICKER SMALL,2,2011-03-14 11:46:00,1.66,12685.0,United Kingdom
544582,23298,SPOTTY BUNNY DOORSTOP,1,2011-05-11 10:25:00,4.08,13405.0,United Kingdom
545919,22467,GUMBALL COAT RACK,2,2011-07-22 10:36:00,2.74,13579.0,United Kingdom
545444,22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,1,2011-11-29 17:43:00,1.74,13505.0,United Kingdom
539202,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2011-10-25 10:25:00,2.45,12714.0,United Kingdom
547469,22469,HEART OF WICKER SMALL,1,2011-03-02 07:22:00,2.3,13763.0,United Kingdom
550892,21175,GIN + TONIC DIET METAL SIGN,1,2011-10-25 13:28:00,1.89,14237.0,United Kingdom
C541759,22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,-4,2011-11-20 11:32:00,1.47,13034.0,Spain
544420,22697,GREEN REGENCY TEACUP AND SAUCER,1,2011-06-16 12:26:00,3.86,13395.0,USA
542553,21232,STRAWBERRY CERAMIC TRINKET BOX,3,2011-08-07 07:18:00,1.91,13130.0,United Kingdom
539313,22632,HAND WARMER RED POLKA DOT,5,2011-03-25 15:06:00,1.73,12726.0,United Kingdom
540813,22382,LUNCH BAG SPACEBOY DESIGN,1,2011-11-22 11:47:00,1.74,12913.0,United Kingdom
547040,22748,POPPY'S PLAYHOUSE KITCHEN,1,2011-09-27 19:57:00,3.33,13715.0,United Kingdom
546590,22552,PLASTERS IN TIN STRONGMAN,1,2011-08-03 17:21:00,2.14,13662.0,United Kingdom
543007,22383,LUNCH BAG SUKI DESIGN,3,2011-07-08 16:30:00,1.63,13202.0,United Kingdom
547022,71053,WHITE METAL LANTERN,3,2011-04-25 09:34:00,4.71,13715.0,United Kingdom
538732,22470,HEART OF WICKER LARGE,2,2011-09-29 11:42:00,2.95,12659.0,United Kingdom
549744,22383,LUNCH BAG SUKI DESIGN,1,2011-11-02 07:27:00,2.22,14066.0,United Kingdom
538256,23301,GARDENERS KNEELING PAD KEEP CALM,2,2011-05-26 10:43:00,2.34,12606.0,United Kingdom
547783,22698,PINK REGENCY TEACUP AND SAUCER,2,2011-01-27 09:28:00,4.09,13798.0,United Kingdom
540476,22697,GREEN REGENCY TEACUP AND SAUCER,2,2011-08-31 14:32:00,3.22,12873.0,United Kingdom
550890,22633,HAND WARMER UNION JACK,1,2011-11-17 14:55:00,2.23,14235.0,France
548037,21928,JUMBO BAG WOODLAND ANIMALS,3,2011-11-11 12:22:00,2.55,13827.0,United Kingdom
549553,22745,POPPY'S PLAYHOUSE BEDROOM,1,2011-06-01 12:57:00,2.42,14047.0,United Kingdom
543066,23298,SPOTTY BUNNY DOORSTOP,5,2010-12-06 08:49:00,4.38,13205.0,United Kingdom
547877,22552,PLASTERS IN TIN STRONGMAN,2,2011-07-17 19:13:00,1.62,13806.0,United Kingdom
543774,22698,PINK REGENCY TEACUP AND SAUCER,1,2011-04-06 13:57:00,3.59,13310.0,United Kingdom
549880,22623,BOX OF VINTAGE JIGSAW BLOCKS,3,2011-07-14 13:24:00,4.82,14073.0,United Kingdom
538110,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,7,2011-09-09 08:45:00,2.99,12583.0,United Kingdom
546381,23298,SPOTTY BUNNY DOORSTOP,1,2011-03-18 11:25:00,4.45,13639.0,United Kingdom
541836,22748,POPPY'S PLAYHOUSE KITCHEN,1,2011-08-05 12:21:00,3.04,13041.0,United Kingdom
551473,22469,HEART OF WICKER SMALL,6,2011-05-08 15:42:00,1.82,14321.0,United Kingdom
547873,23355,HOT WATER BOTTLE KEEP CALM,2,2011-08-01 14:31:00,4.59,13806.0,United Kingdom
545986,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,9,2011-01-07 09:11:00,3.78,13585.0,United Kingdom
542331,84406B,CREAM CUPID HEARTS COAT HANGER,2,2010-12-25 16:11:00,3.26,13101.0,United Kingdom
540726,71053,WHITE METAL LANTERN,1,2011-02-17 10:57:00,3.79,12905.0,United Kingdom
541820,22552,PLASTERS IN TIN STRONGMAN,5,2011-02-16 18:43:00,1.46,13040.0,Netherlands
548584,23084,RABBIT NIGHT LIGHT,1,2011-11-09 08:53:00,1.68,13904.0,United Kingdom
548957,22633,HAND WARMER UNION JACK,3,2011-06-25 18:38:00,2.53,13965.0,France
550206,21176,CHOCOLATE HOT WATER BOTTLE,1,2011-11-16 09:22:00,4.41,14124.0,United Kingdom
540625,22752,SET 7 BABUSHKA NESTING BOXES,2,2011-11-18 08:41:00,9.0,12892.0,United Kingdom
538891,22326,ROUND SNACK BOXES SET OF4 WOODLAND,4,2011-11-16 16:48:00,2.98,12684.0,United Kingdom
539789,71053,WHITE METAL LANTERN,2,2011-07-11 15:13:00,5.48,12786.0,United Kingdom
546657,23356,HOT WATER BOTTLE TEA AND SYMPATHY,3,2011-09-18 16:57:00,4.9,13668.0,United Kingdom
543030,10002,INFLATABLE POLITICAL GLOBE,3,2011-06-03 13:46:00,0.86,13203.0,Switzerland
536960,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,2,2011-08-30 08:32:00,2.29,12417.0,United Kingdom
551014,22722,SET OF 6 SOLDIER SKITTLES,3,2011-04-18 17:32:00,5.81,14259.0,United Kingdom
544800,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1,2011-07-28 12:28:00,2.63,13437.0,United Kingdom
549279,22722,SET OF 6 SOLDIER SKITTLES,4,2011-06-21 10:56:00,6.18,14005.0,United Kingdom
549204,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,3,2011-11-24 12:24:00,2.02,13986.0,United Kingdom
546096,22551,PLASTERS IN TIN SPACEBOY,3,2011-06-23 12:41:00,1.47,13600.0,United Kingdom
547969,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2011-10-31 13:20:00,2.83,13820.0,United Kingdom
545470,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,6,2011-07-22 13:03:00,2.91,13505.0,United Kingdom
539762,22469,HEART OF WICKER SMALL,1,2011-04-01 12:04:00,2.61,12786.0,United Kingdom
546331,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,1,2011-11-02 17:51:00,4.71,13631.0,United Kingdom
547674,23298,SPOTTY BUNNY DOORSTOP,1,2011-08-04 11:59:00,6.28,13780.0,Belgium
542625,22552,PLASTERS IN TIN STRONGMAN,1,2011-10-11 13:01:00,1.67,13140.0,United Kingdom
540068,22086,PAPER CHAIN KIT 50'S CHRISTMAS,4,2011-06-17 16:55:00,2.58,12826.0,United Kingdom
538728,22993,SET OF 4 PANTRY JELLY MOULDS,5,2011-11-04 14:16:00,1.3,12659.0,United Kingdom
548518,22470,HEART OF WICKER LARGE,9,2011-05-08 16:36:00,3.1,13894.0,United Kingdom
539414,84406B,CREAM CUPID HEARTS COAT HANGER,1,2011-08-22 11:42:00,3.22,12739.0,United Kingdom
542536,22467,GUMBALL COAT RACK,1,2011-05-11 15:32:00,4.03,13130.0,United Kingdom
544556,22492,MINI PAINT SET VINTAGE,2,2011-07-27 15:32:00,0.98,,United Kingdom
545807,23356,HOT WATER BOTTLE TEA AND SYMPATHY,1,2011-10-12 12:13:00,5.77,13569.0,United Kingdom
536819,22551,PLASTERS IN TIN SPACEBOY,1,2011-11-10 09:40:00,1.48,12407.0,Sweden
547567,84406B,CREAM CUPID HEARTS COAT HANGER,3,2011-01-27 17:28:00,3.75,13771.0,United Kingdom
546708,23300,GARDENERS KNEELING PAD CUP OF TEA,2,2011-07-09 14:34:00,1.52,,United Kingdom
541643,23301,GARDENERS KNEELING PAD KEEP CALM,2,2011-10-06 13:48:00,1.76,13016.0,United Kingdom
546861,84406B,CREAM CUPID HEARTS COAT HANGER,3,2011-12-04 10:10:00,2.35,13698.0,United Kingdom
544492,22623,BOX OF VINTAGE JIGSAW BLOCKS,6,2011-12-06 14:22:00,6.55,,Portugal
537154,21232,STRAWBERRY CERAMIC TRINKET BOX,1,2011-11-22 13:41:00,0.92,12435.0,United Kingdom
551583,22086,PAPER CHAIN KIT 50'S CHRISTMAS,3,2011-07-23 15:58:00,2.23,14330.0,United Kingdom
548481,22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,3,2011-07-10 08:02:00,1.41,13889.0,United Kingdom
544071,22492,MINI PAINT SET VINTAGE,4,2011-09-09 11:20:00,0.81,13344.0,United Kingdom
551352,22623,BOX OF VINTAGE JIGSAW BLOCKS,2,2011-05-13 16:09:00,7.5,14304.0,Australia
545499,22469,HEART OF WICKER SMALL,2,2011-12-04 07:54:00,1.43,,Portugal
547601,22745,POPPY'S PLAYHOUSE BEDROOM,2,2011-11-30 15:30:00,2.46,13774.0,Spain
549486,47566,PARTY BUNTING,1,2011-05-14 17:06:00,5.84,14038.0,United Kingdom
547357,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,2,2011-07-03 18:18:00,3.04,13749.0,United Kingdom
550636,23084,RABBIT NIGHT LIGHT,2,2011-10-25 19:12:00,2.38,,United Kingdom
545319,22623,BOX OF VINTAGE JIGSAW BLOCKS,1,2011-02-06 18:22:00,6.18,13492.0,United Kingdom
539158,22993,SET OF 4 PANTRY JELLY MOULDS,2,2011-09-15 09:51:00,1.5,12706.0,United Kingdom
537818,22382,LUNCH BAG SPACEBOY DESIGN,2,2011-11-30 12:39:00,1.63,12546.0,United Kingdom
537198,22326,ROUND SNACK BOXES SET OF4 WOODLAND,1,2011-05-29 11:32:00,2.87,12448.0,United Kingdom
550227,22423,REGENCY CAKESTAND 3 TIER,4,2011-06-16 10:22:00,14.31,14125.0,United Kingdom
536794,22423,REGENCY CAKESTAND 3 TIER,5,2011-03-04 17:47:00,12.6,12400.0,United Kingdom
540168,22580,ADVENT CALENDAR GINGHAM SACK,1,2011-11-26 11:02:00,2.55,12840.0,United Kingdom
549967,22752,SET 7 BABUSHKA NESTING BOXES,1,2011-06-13 10:35:00,8.63,14081.0,United Kingdom
544686,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,1,2011-10-14 07:34:00,3.41,13418.0,United Kingdom
550020,22382,LUNCH BAG SPACEBOY DESIGN,7,2011-12-03 10:47:00,1.64,14087.0,United Kingdom
540005,22993,SET OF 4 PANTRY JELLY MOULDS,1,2011-10-05 10:48:00,1.32,12814.0,United Kingdom
543490,22467,GUMBALL COAT RACK,1,2011-04-19 10:43:00,2.23,13268.0,Spain
547621,22659,LUNCH BAG CARS BLUE,1,2011-07-13 17:36:00,1.96,13774.0,Spain
549943,22632,HAND WARMER RED POLKA DOT,3,2011-08-02 07:04:00,1.85,14078.0,United Kingdom
538752,10002,INFLATABLE POLITICAL GLOBE,1,2011-01-23 15:19:00,0.93,12659.0,United Kingdom
C550370,22722,SET OF 6 SOLDIER SKITTLES,-6,2011-11-06 18:45:00,7.27,14147.0,United Kingdom
538912,22632,HAND WARMER RED POLKA DOT,2,2011-12-04 17:01:00,1.81,12684.0,United Kingdom
540899,23084,RABBIT NIGHT LIGHT,4,2011-06-05 19:29:00,1.97,12922.0,United Kingdom
548490,84406B,CREAM CUPID HEARTS COAT HANGER,3,2011-10-07 09:27:00,2.82,13890.0,United Kingdom
542357,21175,GIN + TONIC DIET METAL SIGN,1,2011-05-22 16:06:00,1.85,13103.0,United Kingdom
542955,22552,PLASTERS IN TIN STRONGMAN,3,2011-08-04 13:08:00,1.55,13193.0,United Kingdom
536535,21232,STRAWBERRY CERAMIC TRINKET BOX,2,2011-11-11 11:56:00,1.53,12376.0,United Kingdom
544332,22697,GREEN REGENCY TEACUP AND SAUCER,1,2011-11-01 13:50:00,3.31,13389.0,United Kingdom
537663,22382,LUNCH BAG SPACEBOY DESIGN,23,2011-05-16 12:26:00,1.62,12528.0,Spain
551517,21176,CHOCOLATE HOT WATER BOTTLE,1,2011-11-28 13:15:00,5.24,14323.0,United Kingdom
544379,21176,CHOCOLATE HOT WATER BOTTLE,3,2011-09-16 19:18:00,4.77,13394.0,United Kingdom
547365,23300,GARDENERS KNEELING PAD CUP OF TEA,1,2011-11-01 14:53:00,2.96,13749.0,United Kingdom
546507,22326,ROUND SNACK BOXES SET OF4 WOODLAND,3,2011-10-09 19:08:00,4.16,13653.0,United Kingdom
551675,22551,PLASTERS IN TIN SPACEBOY,3,2011-09-27 11:42:00,1.57,14336.0,United Kingdom
539277,22752,SET 7 BABUSHKA NESTING BOXES,2,2011-07-18 17:49:00,8.02,12721.0,United Kingdom
548571,23356,HOT WATER BOTTLE TEA AND SYMPATHY,2,2011-06-30 19:18:00,5.38,13901.0,Switzerland
539461,22632,HAND WARMER RED POLKA DOT,3,2011-08-06 12:59:00,2.4,,Norway
538744,22326,ROUND SNACK BOXES SET OF4 WOODLAND,1,2011-09-21 18:35:00,3.32,12659.0,United Kingdom
536766,23300,GARDENERS KNEELING PAD CUP OF TEA,3,2011-05-12 13:43:00,2.28,12395.0,United Kingdom
538536,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,1,2011-07-14 07:17:00,3.88,12641.0,United Kingdom
538404,22086,PAPER CHAIN KIT 50'S CHRISTMAS,3,2011-11-22 13:44:00,3.28,12628.0,France
543461,22467,GUMBALL COAT RACK,6,2011-10-05 11:57:00,2.46,13262.0,United Kingdom
537913,22552,PLASTERS IN TIN STRONGMAN,6,2011-08-24 17:42:00,1.83,12557.0,United Kingdom
540349,22632,HAND WARMER RED POLKA DOT,2,2011-11-20 17:00:00,1.81,12861.0,Australia
