InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue
530032,SKU-012,Phone Stand,2,2024-09-23 21:05:00,10.82,10051.0,Germany,21.64
530032,SKU-002,Organic Green Tea,4,2024-10-29 19:03:00,9.75,10051.0,Germany,39.0
530032,SKU-004,Reusable Bottle,5,2024-06-13 17:59:00,16.39,10109.0,Italy,81.95
530033,SKU-003,Ceramic Mug,2,2024-08-30 21:53:00,7.1,10006.0,Spain,14.2
530033,SKU-005,Notebook A5,3,2024-02-22 08:21:00,5.68,10126.0,United Kingdom,17.04
530033,SKU-012,Phone Stand,1,2024-12-21 20:07:00,11.24,10055.0,Netherlands,11.24
530034,SKU-005,Notebook A5,1,2024-10-21 15:30:00,5.77,10141.0,Spain,5.77
530034,SKU-001,Premium Coffee Beans,1,2024-12-22 13:13:00,14.07,10043.0,United Kingdom,14.07
530034,SKU-012,Phone Stand,2,2024-03-28 16:13:00,10.95,10051.0,Germany,21.9
530035,SKU-004,Reusable Bottle,1,2024-12-26 16:33:00,16.19,10068.0,Netherlands,16.19
530035,SKU-005,Notebook A5,2,2025-02-17 16:30:00,5.61,10141.0,Spain,11.22
530035,SKU-010,Bluetooth Speaker,8,2024-10-15 19:09:00,40.85,10084.0,United Kingdom,326.8
530036,SKU-012,Phone Stand,4,2024-12-06 19:42:00,12.03,10101.0,Germany,48.12
530036,SKU-001,Premium Coffee Beans,10,2024-04-16 14:37:00,13.76,10096.0,Portugal,137.6
530036,SKU-011,Cotton Tote Bag,2,2024-10-05 16:02:00,9.29,10046.0,Germany,18.58
530037,SKU-005,Notebook A5,2,2024-05-06 10:03:00,5.22,10036.0,United Kingdom,10.44
530037,SKU-005,Notebook A5,1,2024-09-03 11:50:00,6.13,10120.0,Portugal,6.13
530037,SKU-012,Phone Stand,1,2024-10-05 17:17:00,12.52,10040.0,Italy,12.52
530038,SKU-001,Premium Coffee Beans,5,2024-11-28 15:41:00,12.35,10134.0,Netherlands,61.75
530038,SKU-001,Premium Coffee Beans,1,2024-05-13 09:24:00,13.9,10006.0,Spain,13.9
530038,SKU-011,Cotton Tote Bag,1,2024-12-23 12:42:00,9.53,10093.0,United Kingdom,9.53
530039,SKU-011,Cotton Tote Bag,2,2024-08-19 13:55:00,10.0,10063.0,Netherlands,20.0
530039,SKU-002,Organic Green Tea,1,2024-11-24 08:18:00,9.59,10013.0,Italy,9.59
530039,SKU-011,Cotton Tote Bag,1,2024-11-03 14:14:00,11.24,10061.0,Portugal,11.24
530040,SKU-007,Desk Lamp,1,2024-12-06 16:45:00,33.15,10044.0,Germany,33.15
530040,SKU-002,Organic Green Tea,2,2024-06-01 22:20:00,8.73,10019.0,Italy,17.46
530040,SKU-008,Yoga Mat,4,2024-08-28 21:38:00,23.28,10073.0,France,93.12
530041,SKU-009,Running Socks,4,2024-05-26 09:11:00,6.94,10040.0,Italy,27.76
530041,SKU-004,Reusable Bottle,2,2024-08-31 16:29:00,14.82,10032.0,Portugal,29.64
530041,SKU-009,Running Socks,3,2024-09-20 22:45:00,7.45,10055.0,Netherlands,22.35
530042,SKU-001,Premium Coffee Beans,4,2024-07-21 08:15:00,14.68,10132.0,Italy,58.72
530042,SKU-009,Running Socks,1,2025-01-20 12:21:00,6.68,10006.0,Spain,6.68
530042,SKU-008,Yoga Mat,1,2024-10-06 14:47:00,24.23,10044.0,Germany,24.23
530043,SKU-003,Ceramic Mug,4,2024-10-25 08:22:00,6.85,10102.0,Portugal,27.4
530043,SKU-011,Cotton Tote Bag,1,2024-05-16 13:22:00,9.13,10140.0,France,9.13
530043,SKU-011,Cotton Tote Bag,1,2024-05-11 12:15:00,9.65,10078.0,Portugal,9.65
530044,SKU-009,Running Socks,2,2024-12-14 12:51:00,7.52,10046.0,Germany,15.04
530044,SKU-001,Premium Coffee Beans,1,2025-03-10 18:16:00,11.64,10043.0,United Kingdom,11.64
530044,SKU-007,Desk Lamp,1,2025-02-22 22:52:00,31.05,10130.0,Portugal,31.05
530045,SKU-001,Premium Coffee Beans,2,2024-09-29 16:17:00,12.64,10063.0,Netherlands,25.28
530045,SKU-004,Reusable Bottle,2,2024-03-13 10:21:00,13.54,10077.0,United Kingdom,27.08
530045,SKU-007,Desk Lamp,1,2024-10-22 18:08:00,30.04,10065.0,Netherlands,30.04
530046,SKU-002,Organic Green Tea,1,2024-09-19 19:24:00,7.9,10063.0,Netherlands,7.9
530046,SKU-009,Running Socks,1,2025-02-28 18:39:00,6.46,10006.0,Spain,6.46
530046,SKU-011,Cotton Tote Bag,1,2024-04-26 18:14:00,10.17,10100.0,Italy,10.17
530047,SKU-007,Desk Lamp,6,2025-02-20 11:36:00,34.49,10065.0,Netherlands,206.94
530047,SKU-003,Ceramic Mug,1,2024-07-30 14:19:00,8.18,10084.0,United Kingdom,8.18
530047,SKU-010,Bluetooth Speaker,2,2024-06-19 13:28:00,41.03,10084.0,United Kingdom,82.06
530048,SKU-009,Running Socks,1,2024-08-23 10:13:00,6.41,10141.0,Spain,6.41
530048,SKU-011,Cotton Tote Bag,1,2024-12-21 10:37:00,9.26,10120.0,Portugal,9.26
530048,SKU-009,Running Socks,2,2024-05-23 18:51:00,7.19,10130.0,Portugal,14.38
530049,SKU-004,Reusable Bottle,1,2025-01-02 21:08:00,15.01,10051.0,Germany,15.01
530049,SKU-005,Notebook A5,1,2024-08-06 19:45:00,6.04,10061.0,Portugal,6.04
530049,SKU-009,Running Socks,6,2025-02-22 22:08:00,6.46,10055.0,Netherlands,38.76
530050,SKU-007,Desk Lamp,4,2024-08-09 22:49:00,28.38,10031.0,France,113.52
530050,SKU-003,Ceramic Mug,2,2024-12-07 18:59:00,6.72,10044.0,Germany,13.44
530050,SKU-010,Bluetooth Speaker,5,2024-11-19 22:10:00,47.14,10019.0,Italy,235.7
530051,SKU-006,Wireless Charger,1,2024-11-22 09:35:00,22.74,10109.0,Italy,22.74
530051,SKU-009,Running Socks,2,2024-08-17 19:07:00,7.9,10043.0,United Kingdom,15.8
530051,SKU-003,Ceramic Mug,5,2025-02-12 13:53:00,6.92,10053.0,Netherlands,34.6
530052,SKU-003,Ceramic Mug,1,2025-02-02 19:01:00,7.29,10112.0,United Kingdom,7.29
530052,SKU-006,Wireless Charger,1,2024-06-17 22:26:00,21.75,10105.0,Netherlands,21.75
530052,SKU-007,Desk Lamp,2,2024-10-04 12:28:00,33.77,10063.0,Netherlands,67.54
530053,SKU-012,Phone Stand,1,2024-03-15 22:52:00,12.7,10046.0,Germany,12.7
530053,SKU-011,Cotton Tote Bag,1,2024-02-07 22:47:00,9.33,10147.0,Italy,9.33
530053,SKU-005,Notebook A5,2,2024-12-03 10:49:00,5.2,10091.0,France,10.4
530054,SKU-004,Reusable Bottle,2,2024-07-19 09:08:00,15.55,10108.0,Germany,31.1
530054,SKU-003,Ceramic Mug,1,2025-01-13 08:48:00,7.24,10025.0,Spain,7.24
530054,SKU-010,Bluetooth Speaker,2,2024-06-03 17:17:00,47.04,10121.0,United Kingdom,94.08
530055,SKU-010,Bluetooth Speaker,1,2024-05-02 17:39:00,45.19,10069.0,Spain,45.19
530055,SKU-004,Reusable Bottle,1,2024-08-16 17:14:00,14.65,10014.0,United Kingdom,14.65
530055,SKU-004,Reusable Bottle,1,2024-11-22 18:01:00,15.49,10140.0,France,15.49
530056,SKU-006,Wireless Charger,1,2025-02-18 09:44:00,23.64,10100.0,Italy,23.64
530056,SKU-008,Yoga Mat,1,2024-04-21 10:32:00,25.64,10120.0,Portugal,25.64
530056,SKU-010,Bluetooth Speaker,1,2024-06-04 15:45:00,47.56,10003.0,Portugal,47.56
530057,SKU-011,Cotton Tote Bag,1,2024-12-14 13:11:00,10.17,10146.0,Spain,10.17
530057,SKU-007,Desk Lamp,5,2025-01-17 15:30:00,34.54,10069.0,Spain,172.7
530057,SKU-003,Ceramic Mug,2,2024-06-16 10:12:00,7.28,10047.0,Netherlands,14.56
530058,SKU-004,Reusable Bottle,3,2025-01-20 08:26:00,15.05,10068.0,Netherlands,45.15
530058,SKU-001,Premium Coffee Beans,4,2024-05-27 22:17:00,13.62,10005.0,Spain,54.48
530058,SKU-007,Desk Lamp,1,2025-04-03 11:47:00,29.14,10006.0,Spain,29.14
530059,SKU-011,Cotton Tote Bag,1,2025-01-26 11:48:00,11.06,10063.0,Netherlands,11.06
530059,SKU-004,Reusable Bottle,1,2024-10-11 09:11:00,14.76,10042.0,France,14.76
530059,SKU-008,Yoga Mat,1,2024-05-09 21:39:00,25.72,10096.0,Portugal,25.72
530060,SKU-008,Yoga Mat,3,2024-03-26 19:20:00,22.89,10037.0,Italy,68.67
530060,SKU-008,Yoga Mat,1,2024-11-03 22:15:00,22.7,10148.0,Germany,22.7
530060,SKU-007,Desk Lamp,2,2024-07-17 14:49:00,34.88,10084.0,United Kingdom,69.76
530061,SKU-001,Premium Coffee Beans,1,2024-09-21 17:47:00,13.47,10084.0,United Kingdom,13.47
530061,SKU-007,Desk Lamp,1,2024-07-26 19:20:00,31.51,10027.0,Netherlands,31.51
530061,SKU-007,Desk Lamp,1,2025-02-17 17:47:00,30.66,10108.0,Germany,30.66
530062,SKU-010,Bluetooth Speaker,3,2024-09-18 17:34:00,46.65,10061.0,Portugal,139.95
530062,SKU-009,Running Socks,1,2024-07-02 18:56:00,7.93,10010.0,Netherlands,7.93
530062,SKU-012,Phone Stand,4,2024-10-25 20:02:00,11.33,10050.0,Italy,45.32
530063,SKU-009,Running Socks,3,2025-01-14 09:28:00,6.49,10075.0,France,19.47
530063,SKU-008,Yoga Mat,1,2024-03-13 21:56:00,25.19,10052.0,Spain,25.19
530063,SKU-001,Premium Coffee Beans,1,2024-11-15 22:15:00,13.63,10125.0,Spain,13.63
530064,SKU-009,Running Socks,1,2024-11-05 16:25:00,7.68,10057.0,France,7.68
530064,SKU-012,Phone Stand,1,2024-06-13 08:35:00,10.55,10098.0,Spain,10.55
530064,SKU-007,Desk Lamp,2,2024-04-27 16:48:00,34.95,10078.0,Portugal,69.9
530065,SKU-011,Cotton Tote Bag,2,2025-03-16 08:12:00,9.12,10077.0,United Kingdom,18.24
530065,SKU-005,Notebook A5,1,2024-08-09 15:25:00,6.01,10134.0,Netherlands,6.01
530065,SKU-005,Notebook A5,1,2024-10-01 20:52:00,5.82,10134.0,Netherlands,5.82
530066,SKU-005,Notebook A5,1,2024-12-11 15:10:00,5.51,10120.0,Portugal,5.51
530066,SKU-007,Desk Lamp,1,2024-09-09 12:39:00,35.79,10064.0,Portugal,35.79
530066,SKU-001,Premium Coffee Beans,6,2024-05-30 19:33:00,13.95,10076.0,Germany,83.7
530067,SKU-003,Ceramic Mug,2,2024-10-05 15:53:00,7.5,10116.0,United Kingdom,15.0
530067,SKU-011,Cotton Tote Bag,3,2024-05-03 15:05:00,11.01,10126.0,United Kingdom,33.03
530067,SKU-012,Phone Stand,1,2025-01-07 16:07:00,11.59,10061.0,Portugal,11.59
530068,SKU-003,Ceramic Mug,1,2024-01-23 20:37:00,7.37,10115.0,United Kingdom,7.37
530068,SKU-012,Phone Stand,2,2024-07-04 16:08:00,11.63,10018.0,Spain,23.26
530068,SKU-007,Desk Lamp,1,2024-11-30 14:20:00,29.54,10016.0,France,29.54
530069,SKU-008,Yoga Mat,5,2024-10-26 08:11:00,26.47,10090.0,Spain,132.35
530069,SKU-008,Yoga Mat,1,2025-01-20 17:57:00,25.89,10019.0,Italy,25.89
530069,SKU-012,Phone Stand,2,2024-08-15 22:12:00,10.48,10089.0,Netherlands,20.96
530070,SKU-008,Yoga Mat,2,2024-08-31 09:16:00,27.0,10110.0,France,54.0
530070,SKU-006,Wireless Charger,1,2025-01-08 19:41:00,25.17,10052.0,Spain,25.17
530070,SKU-012,Phone Stand,1,2024-06-12 20:10:00,12.24,10072.0,Portugal,12.24
530071,SKU-012,Phone Stand,3,2025-02-24 19:07:00,12.67,10058.0,Italy,38.01
530071,SKU-002,Organic Green Tea,3,2024-07-28 09:45:00,8.01,10058.0,Italy,24.03
530071,SKU-008,Yoga Mat,1,2025-01-25 18:23:00,23.03,10008.0,United Kingdom,23.03
530072,SKU-002,Organic Green Tea,6,2024-02-25 16:45:00,9.32,10035.0,Spain,55.92
530072,SKU-007,Desk Lamp,1,2025-02-02 19:50:00,29.45,10051.0,Germany,29.45
530072,SKU-009,Running Socks,1,2024-03-31 17:10:00,6.3,10076.0,Germany,6.3
530073,SKU-007,Desk Lamp,1,2024-11-22 16:24:00,32.17,10020.0,Netherlands,32.17
530073,SKU-001,Premium Coffee Beans,1,2025-02-09 20:10:00,14.55,10052.0,Spain,14.55
530073,SKU-006,Wireless Charger,4,2024-07-18 17:55:00,22.79,10100.0,Italy,91.16
530074,SKU-011,Cotton Tote Bag,2,2024-09-02 21:09:00,9.9,10084.0,United Kingdom,19.8
530074,SKU-003,Ceramic Mug,3,2024-08-21 21:09:00,7.79,10146.0,Spain,23.37
530074,SKU-003,Ceramic Mug,1,2024-07-28 20:45:00,7.21,10044.0,Germany,7.21
530075,SKU-001,Premium Coffee Beans,3,2024-07-30 14:19:00,13.48,10005.0,Spain,40.44
530075,SKU-005,Notebook A5,1,2025-01-17 19:49:00,5.68,10014.0,United Kingdom,5.68
530075,SKU-008,Yoga Mat,10,2024-08-03 12:40:00,23.39,10143.0,Italy,233.9
530076,SKU-003,Ceramic Mug,10,2024-10-11 09:57:00,7.91,10126.0,United Kingdom,79.1
530076,SKU-003,Ceramic Mug,1,2024-09-26 11:00:00,7.98,10110.0,France,7.98
530076,SKU-010,Bluetooth Speaker,1,2024-07-24 20:16:00,42.13,10098.0,Spain,42.13
530077,SKU-001,Premium Coffee Beans,4,2024-03-08 15:31:00,12.32,10040.0,Italy,49.28
530077,SKU-008,Yoga Mat,2,2024-09-15 16:51:00,22.91,10050.0,Italy,45.82
530077,SKU-001,Premium Coffee Beans,1,2024-09-07 17:56:00,12.48,10027.0,Netherlands,12.48
530078,SKU-008,Yoga Mat,1,2024-03-26 11:13:00,25.98,10143.0,Italy,25.98
530078,SKU-010,Bluetooth Speaker,2,2024-07-05 18:30:00,46.92,10051.0,Germany,93.84
530078,SKU-008,Yoga Mat,5,2024-06-29 14:28:00,23.61,10109.0,Italy,118.05
530079,SKU-002,Organic Green Tea,5,2025-01-23 17:38:00,7.84,10065.0,Netherlands,39.2
530079,SKU-001,Premium Coffee Beans,1,2024-04-25 11:56:00,12.72,10021.0,Portugal,12.72
530079,SKU-009,Running Socks,2,2025-02-24 12:39:00,7.93,10026.0,France,15.86
530080,SKU-011,Cotton Tote Bag,2,2024-12-31 16:52:00,9.2,10057.0,France,18.4
530080,SKU-004,Reusable Bottle,1,2024-06-09 08:11:00,15.01,10099.0,Netherlands,15.01
530080,SKU-003,Ceramic Mug,2,2024-06-26 08:41:00,7.04,10014.0,United Kingdom,14.08
530081,SKU-006,Wireless Charger,4,2024-09-05 08:09:00,23.89,10020.0,Netherlands,95.56
530081,SKU-001,Premium Coffee Beans,1,2024-06-04 18:36:00,14.01,10078.0,Portugal,14.01
530081,SKU-010,Bluetooth Speaker,1,2024-11-05 12:21:00,42.85,10021.0,Portugal,42.85
530082,SKU-002,Organic Green Tea,1,2024-08-24 08:06:00,9.16,10050.0,Italy,9.16
530082,SKU-007,Desk Lamp,2,2024-11-06 10:10:00,30.65,10085.0,Netherlands,61.3
530082,SKU-011,Cotton Tote Bag,1,2024-07-15 12:39:00,11.35,10051.0,Germany,11.35
530083,SKU-011,Cotton Tote Bag,1,2024-01-27 19:44:00,9.02,10116.0,United Kingdom,9.02
530083,SKU-010,Bluetooth Speaker,1,2024-09-15 17:50:00,50.15,10043.0,United Kingdom,50.15
530083,SKU-009,Running Socks,1,2024-08-11 10:29:00,7.09,10104.0,Spain,7.09
530084,SKU-012,Phone Stand,3,2025-01-28 17:23:00,11.81,10116.0,United Kingdom,35.43
530084,SKU-001,Premium Coffee Beans,1,2024-09-23 09:49:00,12.41,10099.0,Netherlands,12.41
530084,SKU-005,Notebook A5,2,2024-06-28 13:23:00,4.93,10063.0,Netherlands,9.86
530085,SKU-007,Desk Lamp,1,2024-02-02 21:04:00,29.22,10004.0,United Kingdom,29.22
530085,SKU-007,Desk Lamp,1,2025-04-04 21:35:00,30.76,10042.0,France,30.76
530085,SKU-002,Organic Green Tea,2,2025-01-01 12:30:00,9.09,10021.0,Portugal,18.18
530086,SKU-003,Ceramic Mug,2,2024-11-07 09:44:00,7.79,10047.0,Netherlands,15.58
530086,SKU-005,Notebook A5,4,2025-01-07 13:33:00,5.64,10095.0,Netherlands,22.56
530086,SKU-007,Desk Lamp,2,2024-12-15 16:13:00,28.39,10063.0,Netherlands,56.78
530087,SKU-012,Phone Stand,1,2024-08-30 11:39:00,12.86,10147.0,Italy,12.86
530087,SKU-001,Premium Coffee Beans,1,2024-05-08 09:36:00,12.88,10040.0,Italy,12.88
530087,SKU-012,Phone Stand,1,2024-08-04 18:33:00,13.21,10031.0,France,13.21
530088,SKU-002,Organic Green Tea,1,2024-11-10 15:46:00,7.76,10147.0,Italy,7.76
530088,SKU-012,Phone Stand,1,2025-03-10 17:59:00,13.05,10008.0,United Kingdom,13.05
530088,SKU-012,Phone Stand,1,2024-06-22 12:27:00,11.83,10033.0,Germany,11.83
530089,SKU-010,Bluetooth Speaker,1,2024-11-21 21:20:00,43.98,10078.0,Portugal,43.98
530089,SKU-005,Notebook A5,2,2024-08-21 16:36:00,5.93,10139.0,United Kingdom,11.86
530089,SKU-010,Bluetooth Speaker,1,2024-07-25 13:59:00,51.03,10117.0,Portugal,51.03
530090,SKU-003,Ceramic Mug,1,2024-08-26 17:36:00,7.92,10027.0,Netherlands,7.92
530090,SKU-008,Yoga Mat,5,2024-09-15 16:46:00,22.2,10109.0,Italy,111.0
530090,SKU-011,Cotton Tote Bag,2,2024-04-18 15:31:00,9.34,10080.0,Netherlands,18.68
530091,SKU-003,Ceramic Mug,2,2025-01-16 22:39:00,7.69,10004.0,United Kingdom,15.38
530091,SKU-004,Reusable Bottle,1,2025-01-24 19:18:00,16.55,10146.0,Spain,16.55
